,channel_id,channel_video_count,recommended_count,videos_as_source,ratio
1196,UCX9lsdsTKfTi1eqoyL-RS-Q,62,739,5,11.919354838709678
1197,UCwBTUzIuGIuUHNwliqe9OpQ,22,20,1,0.9090909090909091
1198,UCDMgDbI47fpx66wrhnUP3vg,185,482,76,2.6054054054054054
1199,UCrbbgYjbrXVYRM_iRGEDqFw,66,332,13,5.03030303030303
1200,UCG9G2dyRv04FDSH1FSYuLBg,110,9798,29,89.07272727272728
1201,UC9U_1ONuDEj0ZfLXYFaTpVA,138,78,23,0.5652173913043478
1202,UC2u7CHmnTIIWdJ4bLbgkG5A,19,6,4,0.3157894736842105
1203,UCmWZqg1gUyouMUQuVmNXixQ,35,66,8,1.8857142857142857
1204,UCLmFmaWC_lMHttRMz7UU8zQ,16,2,5,0.125
1205,UCgB15YG-QcfzIFnI1Xm-2xg,77,276,38,3.5844155844155843
1206,UCqaZpAnjhuNJMjk4f68QJSw,327,1951,106,5.966360856269113
1207,UCV4uoWB7m5Dl4VoUDn4GlXw,501,6551,132,13.075848303393213
1208,UCc6i7tMzrbBX7xUZiUVzlQA,355,6152,43,17.32957746478873
1209,UCJZ-hXrLYUFHBnkM0Vb2mqw,36,188,23,5.222222222222222
1210,UCN_fHXKBP66zb3-bO19JHmA,15,23,8,1.5333333333333334
1211,UCFnwF4Nf0rbHHqJ_oe_kTLw,223,252,11,1.1300448430493273
1212,UCMKdHJeI9CO4DwPg9toa_AA,10,7,5,0.7
1213,UCHZJkDU1pakkDygpUkuj6tA,50,67,14,1.34
1214,UCsHd-E4Q3hCgp_fvOf-tBiw,150,2813,13,18.753333333333334
1215,UCDqEttzOpPbDoeC05HRPPDQ,35,341,4,9.742857142857142
1216,UC-e0hilusTvqgqfCgLyGBnQ,114,268,44,2.3508771929824563
1217,UCeqx-_VStNvoThSdTP8RZpQ,24,155,7,6.458333333333333
1218,UCrtnRJl-h6Rs9_6HOz3niBQ,54,221,15,4.092592592592593
1219,UCAtFVqd8Bs_5V8OPE3shIcg,21,15,7,0.7142857142857143
1220,UC8T339Pqx8WaJjlF16lkcHg,23,13,1,0.5652173913043478
1221,UCz0wFJWEQbWabJmN_WldPGg,4,0,1,0.0
1222,UCJDzAInPGRM_zE7xfChLEsw,26,24,2,0.9230769230769231
1223,UCrmDPXc_6i3mw-odCkBLcgA,21,6,2,0.2857142857142857
1224,UCqEwL9lUdH-ccrN4Rgd0sEw,51,107,11,2.0980392156862746
1225,UC1_4I-XQJL0NqfxOTvU5_JA,17,22,5,1.2941176470588236
1226,UCcXU_ahrNJHLPjJjvqHhmjw,20,21,4,1.05
1227,UCWc3I_Jt_YV3qtEvtvNOs-A,315,680,45,2.1587301587301586
1228,UCSF8gbbfEvI7bM_3y1C8AEg,115,672,17,5.843478260869565
1229,UCp6W9gfT281VmbMPH4q6F9w,23,8,7,0.34782608695652173
1230,UCO73HHUMVMAi1Q4f4hTf2Rg,16,1,1,0.0625
1231,UC7daY1GuhoUxgRhOcxP4SRA,8,0,4,0.0
1232,UCmYdOtUnhwmvA2oBT36rgmQ,16,1,0,0.0625
1233,UCA5S6hSzDfaQESCk5RjAIiw,30,23,3,0.7666666666666667
1234,UCnYYI0quQ5ZQ2ESnxcUk9gw,46,118,15,2.5652173913043477
1235,UCxOKj8cHPjuDwk7P87Z2ekg,22,29,9,1.3181818181818181
1236,UC4A3K4CT4swDAW57fzXIMVA,42,885,17,21.071428571428573
1237,UC4Ds3UCi1pAUFEPss9NH28Q,33,8,13,0.24242424242424243
1238,UCWWCQjtkZZB3Bb5zGKI41Nw,24,48,11,2.0
1239,UCZejmXKqlRp0qxAayNAtALg,12,1,4,0.08333333333333333
1240,UCJeiOCUqrEbMqvqjuYVSihQ,585,1098,71,1.876923076923077
1241,UCu5pw0-3X2XS_QaGL6jbCHQ,16,25,4,1.5625
1242,UC4rHQbycFD2w3byde_2OXaA,24,88,3,3.6666666666666665
1243,UCWkbzzrku8lwKK6DoBl4yTg,68,399,35,5.867647058823529
1244,UCZfVorL83NxkuNOks8XhN3w,553,772,292,1.3960216998191681
1245,UCk-_PEY3iC6DIGJKuoEe9bw,625,39359,56,62.9744
1246,UCcJx5SR--QoGMDvxBzNfrCw,176,615,19,3.4943181818181817
1247,UCyZYClEbzAAx2IQuDIZSYWw,27,12,1,0.4444444444444444
1248,UC0--537XHg1DCMgU9a1sHxQ,83,122,1,1.4698795180722892
1249,UCBwEUpvtFEg07uQ_qphHYWA,125,723,10,5.784
1250,UCJsZHPR1jqKu-soDmKNMBFg,1224,5836,90,4.76797385620915
1251,UClpfQyL4qNSCAIr8NKoPRrA,65,276,9,4.246153846153846
1252,UCf-DN6QjyyEbhuMWCoXdXQQ,98,370,38,3.7755102040816326
